,Date,Name,Fare
0,7-Sep-11,Dennis Kane,378
1,8-Jul-11,Ed Braxton,699
2,14-Mar-11,Neil Franz?sisch,91
3,29-Jan-11,Jasper Cacioppo,4
4,8-Apr-11,Jim Mitchum,21
5,25-May-11,Barry Weirich,15
6,18-Apr-11,Kunst Miller,697
7,16-Dec-11,Laurel Elliston,129
8,24-Nov-11,Nat Gilpin,509
9,26-Mar-11,Cindy Stewart,19
10,19-Oct-11,Eugene Hildebrand,322
11,28-Mar-11,Daniel Raglin,302
12,2-Jun-11,Stewart Visinsky,605
13,21-Oct-11,Frank Hawley,789
14,19-Nov-11,Dennis Bolton,166
15,2-Dec-11,Matt Collins,2
16,9-Dec-11,Dario Medina,101
17,27-Aug-11,Michael Moore,13
18,22-Dec-11,Tamara Willingham,297
19,7-Dec-11,Ann Steele,269
20,26-Dec-11,Andy Yotov,8
21,20-Apr-11,Benjamin Patterson,60
22,12-Sep-11,Shirley Daniels,70
23,28-Nov-11,Chris Selesnick,542
24,15-Dec-11,Mick Crebagga,804
25,31-Mar-11,Karen Bern,2
26,17-Nov-11,Frank Gastineau,34
27,28-Oct-11,Todd Sumrall,1253
28,30-Sep-11,Russell Applegate,49
29,4-Oct-11,Joy Daniels,29
30,21-Nov-11,Dave Hallsten,866
31,24-Nov-11,Erica Hackney,121
32,29-Dec-11,Arianne Irving,409
33,24-Jan-11,Ionia McGrath,40
34,6-Apr-11,Andy Yotov,200
35,1-Nov-11,Ken Heidel,1044
36,9-Sep-11,Logan Currie,233
37,5-Apr-11,Greg Maxwell,4252
38,23-Jul-11,Alejandro Grove,100
39,17-Oct-11,Evan Bailliet,5
40,20-Dec-11,Adrian Barton,1108
41,22-Sep-11,Vivek Grady,332
42,9-Nov-11,Benjamin Farhat,57
43,10-May-11,Greg Matthias,1770
44,5-Jul-11,Don Miller,243
45,26-Aug-11,Karl Braun,31
46,16-Jan-11,Erica Hackney,150
47,18-May-11,Bruce Stewart,780
48,21-Nov-11,Georgia Rosenberg,13
49,30-May-11,Laurel Workman,765
50,10-Oct-11,Craig Molinari,1489
51,9-Sep-11,Chris Cortes,11
52,30-Nov-11,Jeremy Lonsdale,62
53,25-Aug-11,Mitch Webber,1008
54,12-Sep-11,Art Foster,64
55,24-Feb-11,Michael Grace,11
56,4-Jan-11,Darren Powers,16
57,2-Dec-11,Elizabeth Moffitt,21
58,11-May-11,Paul Gonzalez,225
59,17-Sep-11,Bradley Nguyen,261
60,19-Mar-11,Matt Connell,591
61,25-Aug-11,Janet Molinari,176
62,1-Mar-11,Dave Brooks,458
63,27-Jun-11,Liz MacKendrick,616
64,17-Jun-11,Duane Benoit,66
65,2-Jun-11,Christine Kargatis,133
66,7-Mar-11,Craig Molinari,1144
67,30-Dec-11,Stefania Perrino,610
68,8-Dec-11,Thomas Boland,60
69,21-May-11,Bradley Talbott,32
70,5-Feb-11,Mark Haberlin,17
71,18-Nov-11,John Grady,22
72,9-Dec-11,Cyma Kinney,35
73,7-Sep-11,Sam Zeldin,469
74,4-Apr-11,Paul Knutson,19
75,28-Nov-11,Duane Huffman,460
76,11-Nov-11,Arthur Prichep,143
77,22-Nov-11,Evan Henry,7
78,8-Jan-11,Vivek Sundaresam,87
79,3-Mar-11,Eva Jacobs,626
80,30-May-11,James Galang,70
81,11-Nov-11,Pete Kriz,666
82,24-Nov-11,Muhammed Yedwab,1661
83,7-Jan-11,Jack O'Briant,13
84,7-Jun-11,Nick Radford,269
85,26-Dec-11,Clytie Kelty,15
86,5-Dec-11,Brendan Sweed,1281
87,31-Oct-11,Greg Guthrie,1008
88,5-Sep-11,Nora Preis,264
89,24-Aug-11,Robert Barroso,8
90,6-Dec-11,Roland Schwarz,1261
91,29-Dec-11,Debra Catini,144
92,14-May-11,Anthony Johnson,311
93,2-Sep-11,Bryan Mills,476
94,5-Jul-11,Dennis Pardue,181
95,28-Sep-11,George Zrebassa,46
96,5-Feb-11,Deborah Brumfield,117
97,25-Aug-11,Brendan Sweed,30
98,2-Nov-11,Roger Demir,124
99,2-Mar-11,Kristina Nunn,48
100,12-Dec-11,Philip Brown,23
101,2-Jul-11,Eric Hoffmann,80
102,15-Feb-11,Shui Tom,16
103,8-Feb-11,Cyma Kinney,115
104,28-Oct-11,Bill Tyler,258
105,29-Apr-11,Laura Armstrong,662
106,8-Sep-11,Marc Crier,1772
107,24-Aug-11,Jennifer Patt,26
108,8-Jun-11,Rick Duston,1745
109,7-Feb-11,Delfina Latchford,9
110,2-Oct-11,Erin Smith,598
111,16-Dec-11,Ed Jacobs,93
112,31-Oct-11,Anthony Jacobs,1422
113,24-Oct-11,Daniel Byrd,10
114,28-May-11,Magdelene Morse,137
115,3-Oct-11,Denny Ordway,213
116,15-Aug-11,Christine Sundaresam,244
117,21-Dec-11,John Castell,17
118,5-Nov-11,Deanra Eno,20
119,30-Jun-11,Anthony Rawles,32
120,14-Jan-11,Natalie DeCherney,546
121,12-Aug-11,Charles Sheldon,196
122,21-Feb-11,Linda Cazamias,83
123,6-Oct-11,Victoria Pisteka,386
124,1-Sep-11,Lena Hernandez,381
125,21-Jul-11,Patrick Gardner,36
126,12-Aug-11,Ben Wallace,892
127,14-Jul-11,Barbara Fisher,18
128,7-Sep-11,Lisa Ryan,132
129,9-Dec-11,Victoria Pisteka,248
130,6-Dec-11,Luke Foster,24
131,5-Aug-11,Stephanie Phelps,152
132,22-Oct-11,Maureen Gastineau,94
133,25-Apr-11,Lena Creighton,302
134,12-Jul-11,Ben Ferrer,506
135,5-May-11,Emily Burns,128
136,23-Nov-11,Emily Ducich,24
137,18-Oct-11,Alan Schoenberger,2217
138,22-Jan-11,Tom Boeckenhauer,25
139,9-Aug-11,Emily Ducich,21
140,11-Apr-11,Michelle Moray,410
141,6-Oct-11,Joy Daniels,84
142,23-Aug-11,Rick Hansen,72
143,29-Dec-11,Anthony Johnson,1366
144,18-Apr-11,John Lee,323
145,1-Jun-11,Corey Roper,335
146,4-Feb-11,Tom Boeckenhauer,97
147,31-Dec-11,Rob Williams,77
148,2-Mar-11,Nicole Hansen,155
149,30-Jul-11,Tom Stivers,1368
150,24-Nov-11,Alyssa Tate,6
151,26-Dec-11,Kelly Lampkin,855
152,17-Aug-11,Don Jones,485
153,29-Jun-11,Jim Karlsson,14
154,23-Apr-11,Nathan Mautz,49
155,18-Mar-11,Eileen Kiefer,1198
156,4-May-11,Nat Carroll,43
157,5-May-11,Giulietta Dortch,47
158,29-Sep-11,Evan Bailliet,818
159,2-Dec-11,David Philippe,1051
160,3-Apr-11,Katrina Edelman,233
161,5-Jan-11,Phillina Ober,288
162,31-Mar-11,Jas O'Carroll,1
163,16-Dec-11,Kean Nguyen,1
164,11-Sep-11,Liz Willingham,128
165,17-Sep-11,Nick Radford,183
166,24-Oct-11,Arthur Prichep,12
167,24-Dec-11,Luke Foster,10
168,16-Dec-11,Sean Christensen,329
169,9-Jul-11,Darrin Sayre,172
170,12-Dec-11,Logan Haushalter,31
171,14-Sep-11,Astrea Jones,460
172,10-Sep-11,Sandra Flanagan,337
173,13-Dec-11,Katherine Ducich,90
174,13-May-11,Aaron Hawkins,287
175,13-Sep-11,Becky Castell,340
176,1-Mar-11,Vicky Freymann,652
177,5-Apr-11,Tracy Hopkins,55
178,16-Jun-11,Chloris Kastensmidt,116
179,23-Sep-11,Julie Prescott,18
180,9-Jul-11,Gary Hansen,69
181,10-May-11,Art Foster,372
182,1-Nov-11,Erin Ashbrook,94
183,5-Nov-11,Maribeth Dona,1477
184,11-Oct-11,Dorothy Badders,16
185,20-Aug-11,Nick Crebassa,1417
186,28-Sep-11,Xylona Preis,337
187,13-May-11,Naresj Patel,150
188,14-Mar-11,Jason Fortune-,280
189,23-Dec-11,Tiffany House,110
190,13-Jun-11,Filia McAdams,15
191,11-Mar-11,Filia McAdams,783
192,26-Sep-11,Michael Moore,154
193,2-May-11,Andrew Roberts,26
194,18-Oct-11,Luke Schmidt,605
195,26-Sep-11,Dianna Arnett,53
196,1-Feb-11,Liz Carlisle,291
197,25-Aug-11,Ryan Crowe,199
198,18-Nov-11,Ann Blume,14
199,6-Aug-11,Roland Fjeld,63
200,17-Jan-11,Delfina Latchford,300
201,9-Jun-11,Brosina Hoffman,3714
202,2-Nov-11,Shahid Hopkins,409
203,24-Nov-11,Nathan Gelder,3
204,15-Jul-11,Victoria Wilson,10
205,26-Jul-11,Sheri Gordon,256
206,4-Mar-11,Clay Ludtke,355
207,12-Sep-11,Luke Weiss,3785
208,15-Nov-11,Jamie Frazer,362
209,14-Dec-11,Bryan Mills,186
210,8-May-11,Kean Thornton,1800
211,15-Dec-11,Jas O'Carroll,6
212,30-Jun-11,Michael Stewart,47
213,26-Apr-11,Marc Harrigan,34
214,11-Oct-11,Dean percer,408
215,23-Sep-11,Sanjit Chand,9900
216,21-Jul-11,Michelle Ellison,1174
217,4-Mar-11,Sanjit Chand,16
218,19-Oct-11,Jeremy Farry,13
219,1-Aug-11,Barbara Fisher,203
220,7-Oct-11,Mathew Reese,130
221,22-Jul-11,Naresj Patel,1136
222,21-Sep-11,Larry Hughes,7
223,21-May-11,Mitch Willingham,3334
224,4-May-11,Paul MacIntyre,47
225,7-Sep-11,Rick Bensley,644
226,14-Jan-11,Michael Moore,41
227,29-Dec-11,Michael Granlund,9
228,29-Apr-11,Katherine Hughes,20
229,17-Mar-11,Bradley Nguyen,250
230,5-Aug-11,Chad Sievert,472
231,28-Apr-11,Muhammed Yedwab,527
232,27-Nov-11,Maxwell Schwartz,4
233,16-Nov-11,Justin Deggeller,731
234,25-Nov-11,Mike Pelletier,1394
235,11-May-11,Harold Dahlen,122
236,17-Nov-11,Yoseph Carroll,3116
237,15-Dec-11,Sung Pak,9
238,3-Nov-11,Denise Monton,6
239,8-Oct-11,Duane Noonan,124
240,4-Jul-11,Katrina Edelman,210
241,27-Dec-11,Alyssa Tate,12
242,7-Nov-11,Maribeth Schnelling,317
243,20-Sep-11,Sarah Brown,505
244,24-Aug-11,Dorothy Wardle,26
245,1-Dec-11,Resi P?lking,2854
246,23-Nov-11,Saphhira Shifley,46
247,2-Nov-11,Julie Kriz,800
248,19-Dec-11,Irene Maddox,1980
249,3-Oct-11,Russell D'Ascenzo,58
250,23-Mar-11,Patrick O'Donnell,935
251,20-Dec-11,William Brown,85
252,27-Sep-11,Thomas Seio,88
253,6-Nov-11,George Ashbrook,44
254,10-Nov-11,Sam Craven,1195
255,28-Nov-11,Mary O'Rourke,17
256,4-Nov-11,Odella Nelson,67
257,3-Nov-11,Speros Goranitis,841
258,28-Nov-11,Brian Thompson,999
259,6-May-11,Harold Pawlan,141
260,19-Aug-11,Jim Karlsson,11
261,15-Feb-11,Marina Lichtenstein,561
262,8-Apr-11,John Stevenson,172
263,22-Apr-11,Aaron Hawkins,258
264,24-Nov-11,Harold Pawlan,111
265,13-Apr-11,Jonathan Doherty,631
266,17-Feb-11,Michael Nguyen,9
267,25-Nov-11,Andy Reiter,53
268,12-Nov-11,Darren Powers,153
269,22-Jul-11,Alejandro Ballentine,20
270,3-Dec-11,Nathan Gelder,480
271,7-Sep-11,Sean Braxton,539
272,29-Sep-11,Suzanne McNair,2359
273,30-Jun-11,Russell Applegate,5
274,8-Sep-11,Stefania Perrino,17
275,11-Jul-11,Michael Nguyen,586
276,22-Aug-11,Deanra Eno,4
277,26-Aug-11,Frank Merwin,177
278,18-Jul-11,Adrian Hane,259
279,13-Oct-11,Sibella Parks,8
280,7-Nov-11,Lena Hernandez,123
281,24-Sep-11,Julia Dunbar,212
282,3-Feb-11,Eric Barreto,199
283,19-Jan-11,David Wiener,65
284,7-Nov-11,Tamara Chand,100
285,18-Jun-11,Mick Crebagga,140
286,17-Dec-11,Roy Franz?sisch,40
287,7-Apr-11,Pauline Johnson,9
288,13-Dec-11,Randy Ferguson,93
289,16-Dec-11,Stefanie Holloman,1404
290,17-Oct-11,Tracy Blumstein,131
291,27-May-11,Maya Herman,926
292,14-Jul-11,Shirley Schmidt,39
293,8-Aug-11,Matt Abelman,1110
294,21-Sep-11,Sara Luxemburg,66
295,2-May-11,Cari Schnelling,480
296,22-Jun-11,Dianna Vittorini,664
297,27-Aug-11,Corey Catlett,1812
298,18-Nov-11,Maya Herman,868
299,27-Jul-11,Giulietta Weimer,238
300,5-Aug-11,Gary Zandusky,489
301,26-Nov-11,Lynn Smith,415
302,23-Aug-11,Arthur Prichep,424
303,12-Jul-11,Max Engle,60
304,29-Sep-11,Lisa DeCherney,1609
305,28-Sep-11,Keith Dawkins,107
306,16-May-11,Pauline Webber,233
307,3-Sep-11,Allen Goldenen,14
308,21-Sep-11,Brian Moss,69
309,5-Dec-11,Nona Balk,521
310,14-Nov-11,Maris LaWare,877
311,3-Aug-11,Berenike Kampe,164
312,22-Nov-11,Robert Barroso,10
313,10-Sep-11,Clay Ludtke,1509
314,9-Feb-11,Nathan Mautz,15
315,4-Nov-11,William Brown,1729
316,20-Sep-11,Mitch Webber,3519
317,23-Jun-11,Brian Stugart,86
318,7-Sep-11,Shahid Shariari,322
319,25-Aug-11,Joe Elijah,38
320,13-Sep-11,Lena Hernandez,3
321,23-Dec-11,Michelle Ellison,5
322,4-Aug-11,Valerie Dominguez,2126
323,9-Sep-11,Rick Reed,2304
324,20-Sep-11,Henry Goldwyn,9
325,1-Sep-11,Larry Tron,54
326,29-Sep-11,Paul Prost,2355
327,26-Jul-11,Kunst Miller,1891
328,29-Dec-11,Zuschuss Carroll,39
329,1-Nov-11,Suzanne McNair,16
330,15-Jun-11,Pamela Stobb,37
331,11-Aug-11,Greg Matthias,76
332,24-Nov-11,Harold Ryan,721
333,12-May-11,Hunter Lopez,35
334,21-May-11,Katherine Hughes,187
335,4-Dec-11,Cathy Prescott,130
336,19-Sep-11,John Lee,2692
337,31-Dec-11,Candace McMahon,50
338,25-Nov-11,Matt Collister,1274
339,22-Sep-11,Maribeth Schnelling,5
340,11-May-11,Brooke Gillingham,36
341,15-Nov-11,Shahid Shariari,803
342,26-Sep-11,Christopher Schild,310
343,12-Feb-11,Natalie Fritzler,1508
344,22-Jul-11,Erin Mull,166
345,17-Mar-11,Quincy Jones,127
346,20-Jul-11,Jonathan Doherty,602
347,2-Sep-11,Clay Ludtke,21
348,3-Mar-11,Anne Pryor,161
349,31-Mar-11,Alex Avila,727
350,19-Nov-11,Alan Dominguez,6
351,21-Jun-11,Dave Brooks,1327
352,17-Nov-11,Greg Tran,6161
