order_date,customer,grand_total
40793,Dennis Kane,378
40732,Ed Braxton,699
40616,Neil Franzšsisch,91
40572,Jasper Cacioppo,4
40641,Jim Mitchum,21
40688,Barry Weirich,15
40651,Kunst Miller,697
40893,Laurel Elliston,129
40871,Nat Gilpin,509
40628,Cindy Stewart,19
40835,Eugene Hildebrand,322
40630,Daniel Raglin,302
40696,Stewart Visinsky,605
40837,Frank Hawley,789
40866,Dennis Bolton,166
40879,Matt Collins,2
40886,Dario Medina,101
40782,Michael Moore,13
40899,Tamara Willingham,297
40884,Ann Steele,269
40903,Andy Yotov,8
40653,Benjamin Patterson,60
40798,Shirley Daniels,70
40875,Chris Selesnick,542
40892,Mick Crebagga,804
40633,Karen Bern,2
40864,Frank Gastineau,34
40844,Todd Sumrall,1253
40816,Russell Applegate,49
40820,Joy Daniels,29
40868,Dave Hallsten,866
40871,Erica Hackney,121
40906,Arianne Irving,409
40567,Ionia McGrath,40
40639,Andy Yotov,200
40848,Ken Heidel,1044
40795,Logan Currie,233
40638,Greg Maxwell,4252
40747,Alejandro Grove,100
40833,Evan Bailliet,5
40897,Adrian Barton,1108
40808,Vivek Grady,332
40856,Benjamin Farhat,57
40673,Greg Matthias,1770
40729,Don Miller,243
40781,Karl Braun,31
40559,Erica Hackney,150
40681,Bruce Stewart,780
40868,Georgia Rosenberg,13
40693,Laurel Workman,765
40826,Craig Molinari,1489
40795,Chris Cortes,11
40877,Jeremy Lonsdale,62
40780,Mitch Webber,1008
40798,Art Foster,64
40598,Michael Grace,11
40547,Darren Powers,16
40879,Elizabeth Moffitt,21
40674,Paul Gonzalez,225
40803,Bradley Nguyen,261
40621,Matt Connell,591
40780,Janet Molinari,176
40603,Dave Brooks,458
40721,Liz MacKendrick,616
40711,Duane Benoit,66
40696,Christine Kargatis,133
40609,Craig Molinari,1144
40907,Stefania Perrino,610
40885,Thomas Boland,60
40684,Bradley Talbott,32
40579,Mark Haberlin,17
40865,John Grady,22
40886,Cyma Kinney,35
40793,Sam Zeldin,469
40637,Paul Knutson,19
40875,Duane Huffman,460
40858,Arthur Prichep,143
40869,Evan Henry,7
40551,Vivek Sundaresam,87
40605,Eva Jacobs,626
40693,James Galang,70
40858,Pete Kriz,666
40871,Muhammed Yedwab,1661
40550,Jack O'Briant,13
40701,Nick Radford,269
40903,Clytie Kelty,15
40882,Brendan Sweed,1281
40847,Greg Guthrie,1008
40791,Nora Preis,264
40779,Robert Barroso,8
40883,Roland Schwarz,1261
40906,Debra Catini,144
40677,Anthony Johnson,311
40788,Bryan Mills,476
40729,Dennis Pardue,181
40814,George Zrebassa,46
40579,Deborah Brumfield,117
40780,Brendan Sweed,30
40849,Roger Demir,124
40604,Kristina Nunn,48
40889,Philip Brown,23
40726,Eric Hoffmann,80
40589,Shui Tom,16
40582,Cyma Kinney,115
40844,Bill Tyler,258
40662,Laura Armstrong,662
40794,Marc Crier,1772
40779,Jennifer Patt,26
40702,Rick Duston,1745
40581,Delfina Latchford,9
40818,Erin Smith,598
40893,Ed Jacobs,93
40847,Anthony Jacobs,1422
40840,Daniel Byrd,10
40691,Magdelene Morse,137
40819,Denny Ordway,213
40770,Christine Sundaresam,244
40898,John Castell,17
40852,Deanra Eno,20
40724,Anthony Rawles,32
40557,Natalie DeCherney,546
40767,Charles Sheldon,196
40595,Linda Cazamias,83
40822,Victoria Pisteka,386
40787,Lena Hernandez,381
40745,Patrick Gardner,36
40767,Ben Wallace,892
40738,Barbara Fisher,18
40793,Lisa Ryan,132
40886,Victoria Pisteka,248
40883,Luke Foster,24
40760,Stephanie Phelps,152
40838,Maureen Gastineau,94
40658,Lena Creighton,302
40736,Ben Ferrer,506
40668,Emily Burns,128
40870,Emily Ducich,24
40834,Alan Schoenberger,2217
40565,Tom Boeckenhauer,25
40764,Emily Ducich,21
40644,Michelle Moray,410
40822,Joy Daniels,84
40778,Rick Hansen,72
40906,Anthony Johnson,1366
40651,John Lee,323
40695,Corey Roper,335
40578,Tom Boeckenhauer,97
40908,Rob Williams,77
40604,Nicole Hansen,155
40754,Tom Stivers,1368
40871,Alyssa Tate,6
40903,Kelly Lampkin,855
40772,Don Jones,485
40723,Jim Karlsson,14
40656,Nathan Mautz,49
40620,Eileen Kiefer,1198
40667,Nat Carroll,43
40668,Giulietta Dortch,47
40815,Evan Bailliet,818
40879,David Philippe,1051
40636,Katrina Edelman,233
40548,Phillina Ober,288
40633,Jas O'Carroll,1
40893,Kean Nguyen,1
40797,Liz Willingham,128
40803,Nick Radford,183
40840,Arthur Prichep,12
40901,Luke Foster,10
40893,Sean Christensen,329
40733,Darrin Sayre,172
40889,Logan Haushalter,31
40800,Astrea Jones,460
40796,Sandra Flanagan,337
40890,Katherine Ducich,90
40676,Aaron Hawkins,287
40799,Becky Castell,340
40603,Vicky Freymann,652
40638,Tracy Hopkins,55
40710,Chloris Kastensmidt,116
40809,Julie Prescott,18
40733,Gary Hansen,69
40673,Art Foster,372
40848,Erin Ashbrook,94
40852,Maribeth Dona,1477
40827,Dorothy Badders,16
40775,Nick Crebassa,1417
40814,Xylona Preis,337
40676,Naresj Patel,150
40616,Jason Fortune-,280
40900,Tiffany House,110
40707,Filia McAdams,15
40613,Filia McAdams,783
40812,Michael Moore,154
40665,Andrew Roberts,26
40834,Luke Schmidt,605
40812,Dianna Arnett,53
40575,Liz Carlisle,291
40780,Ryan Crowe,199
40865,Ann Blume,14
40761,Roland Fjeld,63
40560,Delfina Latchford,300
40703,Brosina Hoffman,3714
40849,Shahid Hopkins,409
40871,Nathan Gelder,3
40739,Victoria Wilson,10
40750,Sheri Gordon,256
40606,Clay Ludtke,355
40798,Luke Weiss,3785
40862,Jamie Frazer,362
40891,Bryan Mills,186
40671,Kean Thornton,1800
40892,Jas O'Carroll,6
40724,Michael Stewart,47
40659,Marc Harrigan,34
40827,Dean percer,408
40809,Sanjit Chand,9900
40745,Michelle Ellison,1174
40606,Sanjit Chand,16
40835,Jeremy Farry,13
40756,Barbara Fisher,203
40823,Mathew Reese,130
40746,Naresj Patel,1136
