order_date,customer,grand_total
7-Sep-11,Dennis Kane,378
8-Jul-11,Ed Braxton,699
14-Mar-11,Neil Franz?sisch,91
29-Jan-11,Jasper Cacioppo,4
8-Apr-11,Jim Mitchum,21
25-May-11,Barry Weirich,15
18-Apr-11,Kunst Miller,697
16-Dec-11,Laurel Elliston,129
24-Nov-11,Nat Gilpin,509
26-Mar-11,Cindy Stewart,19
19-Oct-11,Eugene Hildebrand,322
28-Mar-11,Daniel Raglin,302
2-Jun-11,Stewart Visinsky,605
21-Oct-11,Frank Hawley,789
19-Nov-11,Dennis Bolton,166
2-Dec-11,Matt Collins,2
9-Dec-11,Dario Medina,101
27-Aug-11,Michael Moore,13
22-Dec-11,Tamara Willingham,297
7-Dec-11,Ann Steele,269
26-Dec-11,Andy Yotov,8
20-Apr-11,Benjamin Patterson,60
12-Sep-11,Shirley Daniels,70
28-Nov-11,Chris Selesnick,542
15-Dec-11,Mick Crebagga,804
31-Mar-11,Karen Bern,2
17-Nov-11,Frank Gastineau,34
28-Oct-11,Todd Sumrall,1253
30-Sep-11,Russell Applegate,49
4-Oct-11,Joy Daniels,29
21-Nov-11,Dave Hallsten,866
24-Nov-11,Erica Hackney,121
29-Dec-11,Arianne Irving,409
24-Jan-11,Ionia McGrath,40
6-Apr-11,Andy Yotov,200
1-Nov-11,Ken Heidel,1044
9-Sep-11,Logan Currie,233
5-Apr-11,Greg Maxwell,4252
23-Jul-11,Alejandro Grove,100
17-Oct-11,Evan Bailliet,5
20-Dec-11,Adrian Barton,1108
22-Sep-11,Vivek Grady,332
9-Nov-11,Benjamin Farhat,57
10-May-11,Greg Matthias,1770
5-Jul-11,Don Miller,243
26-Aug-11,Karl Braun,31
16-Jan-11,Erica Hackney,150
18-May-11,Bruce Stewart,780
21-Nov-11,Georgia Rosenberg,13
30-May-11,Laurel Workman,765
10-Oct-11,Craig Molinari,1489
9-Sep-11,Chris Cortes,11
30-Nov-11,Jeremy Lonsdale,62
25-Aug-11,Mitch Webber,1008
12-Sep-11,Art Foster,64
24-Feb-11,Michael Grace,11
4-Jan-11,Darren Powers,16
2-Dec-11,Elizabeth Moffitt,21
11-May-11,Paul Gonzalez,225
17-Sep-11,Bradley Nguyen,261
19-Mar-11,Matt Connell,591
25-Aug-11,Janet Molinari,176
1-Mar-11,Dave Brooks,458
27-Jun-11,Liz MacKendrick,616
17-Jun-11,Duane Benoit,66
2-Jun-11,Christine Kargatis,133
7-Mar-11,Craig Molinari,1144
30-Dec-11,Stefania Perrino,610
8-Dec-11,Thomas Boland,60
21-May-11,Bradley Talbott,32
5-Feb-11,Mark Haberlin,17
18-Nov-11,John Grady,22
9-Dec-11,Cyma Kinney,35
7-Sep-11,Sam Zeldin,469
4-Apr-11,Paul Knutson,19
28-Nov-11,Duane Huffman,460
11-Nov-11,Arthur Prichep,143
22-Nov-11,Evan Henry,7
8-Jan-11,Vivek Sundaresam,87
3-Mar-11,Eva Jacobs,626
30-May-11,James Galang,70
11-Nov-11,Pete Kriz,666
24-Nov-11,Muhammed Yedwab,1661
7-Jan-11,Jack O'Briant,13
7-Jun-11,Nick Radford,269
26-Dec-11,Clytie Kelty,15
5-Dec-11,Brendan Sweed,1281
31-Oct-11,Greg Guthrie,1008
5-Sep-11,Nora Preis,264
24-Aug-11,Robert Barroso,8
6-Dec-11,Roland Schwarz,1261
29-Dec-11,Debra Catini,144
14-May-11,Anthony Johnson,311
2-Sep-11,Bryan Mills,476
5-Jul-11,Dennis Pardue,181
28-Sep-11,George Zrebassa,46
5-Feb-11,Deborah Brumfield,117
25-Aug-11,Brendan Sweed,30
2-Nov-11,Roger Demir,124
2-Mar-11,Kristina Nunn,48
12-Dec-11,Philip Brown,23
2-Jul-11,Eric Hoffmann,80
15-Feb-11,Shui Tom,16
8-Feb-11,Cyma Kinney,115
28-Oct-11,Bill Tyler,258
29-Apr-11,Laura Armstrong,662
8-Sep-11,Marc Crier,1772
24-Aug-11,Jennifer Patt,26
8-Jun-11,Rick Duston,1745
7-Feb-11,Delfina Latchford,9
2-Oct-11,Erin Smith,598
16-Dec-11,Ed Jacobs,93
31-Oct-11,Anthony Jacobs,1422
24-Oct-11,Daniel Byrd,10
28-May-11,Magdelene Morse,137
3-Oct-11,Denny Ordway,213
15-Aug-11,Christine Sundaresam,244
21-Dec-11,John Castell,17
5-Nov-11,Deanra Eno,20
30-Jun-11,Anthony Rawles,32
14-Jan-11,Natalie DeCherney,546
12-Aug-11,Charles Sheldon,196
21-Feb-11,Linda Cazamias,83
6-Oct-11,Victoria Pisteka,386
1-Sep-11,Lena Hernandez,381
21-Jul-11,Patrick Gardner,36
12-Aug-11,Ben Wallace,892
14-Jul-11,Barbara Fisher,18
7-Sep-11,Lisa Ryan,132
9-Dec-11,Victoria Pisteka,248
6-Dec-11,Luke Foster,24
5-Aug-11,Stephanie Phelps,152
22-Oct-11,Maureen Gastineau,94
25-Apr-11,Lena Creighton,302
12-Jul-11,Ben Ferrer,506
5-May-11,Emily Burns,128
23-Nov-11,Emily Ducich,24
18-Oct-11,Alan Schoenberger,2217
22-Jan-11,Tom Boeckenhauer,25
9-Aug-11,Emily Ducich,21
11-Apr-11,Michelle Moray,410
6-Oct-11,Joy Daniels,84
23-Aug-11,Rick Hansen,72
29-Dec-11,Anthony Johnson,1366
18-Apr-11,John Lee,323
1-Jun-11,Corey Roper,335
4-Feb-11,Tom Boeckenhauer,97
31-Dec-11,Rob Williams,77
2-Mar-11,Nicole Hansen,155
30-Jul-11,Tom Stivers,1368
24-Nov-11,Alyssa Tate,6
26-Dec-11,Kelly Lampkin,855
17-Aug-11,Don Jones,485
29-Jun-11,Jim Karlsson,14
23-Apr-11,Nathan Mautz,49
18-Mar-11,Eileen Kiefer,1198
4-May-11,Nat Carroll,43
5-May-11,Giulietta Dortch,47
